评级,代码,转债名称,现价,溢价率,转股价值,转股价
AA+,110052,贵广转债,94.68,66.32%,56.93,7.94
AA+,110051,中天转债,105.59,13.70%,92.86,10.09
AA+,110048,福能转债,106.78,12.31%,95.07,8.12
AA+,110047,山鹰转债,101.65,12.42%,90.42,3.34
AA+,110045,海澜转债,97.4,73.93%,56,11.75
AA,110044,广电转债 !,179.84,134.57%,76.67,6.9
AA+,110043,无锡转债,126.65,-0.23%,126.94,5.79**
AAA,110041,蒙电转债,101.59,24.78%,81.41,2.69
AA,110038,济川转债,101.17,27.26%,79.5,23.85*
AA+,110034,九州转债,108.94,16.37%,93.61,18.32
AAA,110033,国贸转债,106.5,23.53%,86.21,7.18*
AAA,110031,航信转债,106.09,120.78%,48.05,21.56*
,,,,,,
,,,,,,
